manhattan 83: tempo: 0.8788186000019778, nodi: 856, explored_paths: 47, cost: 9
subgoal 83: tempo: 3.8222677999874577, nodi: 1861, explored_paths: 87, cost: 11
relaxed 83: tempo: 67.30885699999635, nodi: 7656, explored_paths: 376, cost: 9
manhattan 84: tempo: 0.3536571000004187, nodi: 526, explored_paths: 26, cost: 7
subgoal 84: tempo: 94.34991270001046, nodi: 11196, explored_paths: 721, cost: 16
relaxed 84: tempo: 0.4157942999736406, nodi: 631, explored_paths: 39, cost: 7
manhattan 85: tempo: 2.6810914000088815, nodi: 1791, explored_paths: 110, cost: 10
subgoal 85: tempo: 32.077813900017645, nodi: 6226, explored_paths: 331, cost: 21
relaxed 85: tempo: 329.64930049999384, nodi: 17461, explored_paths: 878, cost: 9
manhattan 86: tempo: 0.09149210000759922, nodi: 261, explored_paths: 13, cost: 8
subgoal 86: tempo: 0.04489439999451861, nodi: 191, explored_paths: 8, cost: 6
relaxed 86: tempo: 0.2235612999938894, nodi: 391, explored_paths: 17, cost: 6
manhattan 87: tempo: 0.13027570000849664, nodi: 316, explored_paths: 14, cost: 8
subgoal 87: tempo: 8.566153099993244, nodi: 3141, explored_paths: 167, cost: 13
relaxed 87: tempo: 221.55954829999246, nodi: 14876, explored_paths: 806, cost: 7
manhattan 88: tempo: 1.99533859998337, nodi: 1341, explored_paths: 73, cost: 11
subgoal 88: tempo: 1.6583077000104822, nodi: 1221, explored_paths: 56, cost: 11
relaxed 88: tempo: 0.35200859999167733, nodi: 546, explored_paths: 23, cost: 7
manhattan 89: tempo: 0.19643109999014996, nodi: 401, explored_paths: 20, cost: 8
subgoal 89: tempo: 600.2340824999847, nodi: 29471, explored_paths: 1648, cost: 0
relaxed 89: tempo: 3.0496512000099756, nodi: 1601, explored_paths: 69, cost: 8
manhattan 90: tempo: 0.40824059999431483, nodi: 586, explored_paths: 24, cost: 7
subgoal 90: tempo: 600.5842015999951, nodi: 28121, explored_paths: 1588, cost: 0
relaxed 90: tempo: 502.1154198999866, nodi: 23106, explored_paths: 1335, cost: 8
manhattan 91: tempo: 0.04441850000876002, nodi: 181, explored_paths: 8, cost: 7
subgoal 91: tempo: 6.209330999990925, nodi: 2456, explored_paths: 132, cost: 10
relaxed 91: tempo: 3.9161179999937303, nodi: 1866, explored_paths: 93, cost: 7
manhattan 92: tempo: 2.6773116000113077, nodi: 1586, explored_paths: 78, cost: 7
subgoal 92: tempo: 384.7946538999968, nodi: 25096, explored_paths: 1372, cost: 17
relaxed 92: tempo: 0.019125399994663894, nodi: 121, explored_paths: 6, cost: 6
manhattan 93: tempo: 1.3447421000164468, nodi: 1121, explored_paths: 56, cost: 7
subgoal 93: tempo: 290.4237844000163, nodi: 20796, explored_paths: 1259, cost: 11
relaxed 93: tempo: 13.439568600006169, nodi: 3866, explored_paths: 217, cost: 7
manhattan 94: tempo: 0.03414209999027662, nodi: 156, explored_paths: 8, cost: 5
subgoal 94: tempo: 0.10894900001585484, nodi: 296, explored_paths: 16, cost: 7
relaxed 94: tempo: 0.213207799999509, nodi: 426, explored_paths: 23, cost: 5
manhattan 95: tempo: 0.24333679999108426, nodi: 431, explored_paths: 21, cost: 7
subgoal 95: tempo: 0.017301799991400912, nodi: 111, explored_paths: 5, cost: 5
relaxed 95: tempo: 0.03190010000253096, nodi: 156, explored_paths: 7, cost: 5
manhattan 96: tempo: 2.433353900007205, nodi: 1431, explored_paths: 71, cost: 7
subgoal 96: tempo: 4.24598330000299, nodi: 1941, explored_paths: 98, cost: 16
relaxed 96: tempo: 0.10787010000785813, nodi: 291, explored_paths: 13, cost: 7
manhattan 97: tempo: 0.11535219999495894, nodi: 321, explored_paths: 17, cost: 6
subgoal 97: tempo: 600.084600000002, nodi: 29511, explored_paths: 1662, cost: 0
relaxed 97: tempo: 0.7423970999952871, nodi: 771, explored_paths: 34, cost: 7
manhattan 98: tempo: 0.9136160000052769, nodi: 906, explored_paths: 44, cost: 8
subgoal 98: tempo: 3.661679799988633, nodi: 2001, explored_paths: 118, cost: 14
relaxed 98: tempo: 6.298383899993496, nodi: 2256, explored_paths: 111, cost: 7
manhattan 99: tempo: 0.1669019999972079, nodi: 361, explored_paths: 15, cost: 6
subgoal 99: tempo: 0.01999699999578297, nodi: 121, explored_paths: 5, cost: 5
relaxed 99: tempo: 1.5158947999880183, nodi: 1141, explored_paths: 50, cost: 5
manhattan 100: tempo: 32.52607490000082, nodi: 5386, explored_paths: 272, cost: 10
subgoal 100: tempo: 577.2111310000182, nodi: 30346, explored_paths: 1806, cost: 15
relaxed 100: tempo: 74.60601160000078, nodi: 8261, explored_paths: 477, cost: 6
manhattan 101: tempo: 1.060041100019589, nodi: 456, explored_paths: 23, cost: 8
subgoal 101: tempo: 20.30144090001704, nodi: 2631, explored_paths: 136, cost: 9
relaxed 101: tempo: 95.14969740001834, nodi: 9826, explored_paths: 486, cost: 8
manhattan 102: tempo: 0.16021939998609014, nodi: 386, explored_paths: 23, cost: 6
subgoal 102: tempo: 0.22074220000649802, nodi: 441, explored_paths: 22, cost: 11
relaxed 102: tempo: 1.34174350000103, nodi: 1086, explored_paths: 55, cost: 6
